date,country,total_cases,new_cases,total_deaths,new_deaths,total_tests,population,aged_65_older,aged_70_older
07jan2020,2,,0,,0,,67886004,18.517,12.527
08jan2020,2,,0,,0,,67886004,18.517,12.527
09jan2020,2,,0,,0,,67886004,18.517,12.527
10jan2020,2,,0,,0,,67886004,18.517,12.527
11jan2020,2,,0,,0,,67886004,18.517,12.527
12jan2020,2,,0,,0,,67886004,18.517,12.527
13jan2020,2,,0,,0,,67886004,18.517,12.527
14jan2020,2,,0,,0,,67886004,18.517,12.527
15jan2020,2,,0,,0,,67886004,18.517,12.527
16jan2020,2,,0,,0,,67886004,18.517,12.527
17jan2020,2,,0,,0,,67886004,18.517,12.527
18jan2020,2,,0,,0,,67886004,18.517,12.527
19jan2020,2,,0,,0,,67886004,18.517,12.527
20jan2020,2,,0,,0,,67886004,18.517,12.527
21jan2020,2,,0,,0,,67886004,18.517,12.527
22jan2020,2,,0,,0,,67886004,18.517,12.527
23jan2020,2,,0,,0,,67886004,18.517,12.527
24jan2020,2,,0,,0,,67886004,18.517,12.527
25jan2020,2,,0,,0,,67886004,18.517,12.527
26jan2020,2,,0,,0,,67886004,18.517,12.527
27jan2020,2,,0,,0,,67886004,18.517,12.527
28jan2020,2,,0,,0,,67886004,18.517,12.527
29jan2020,2,,0,,0,,67886004,18.517,12.527
30jan2020,2,,0,,0,,67886004,18.517,12.527
31jan2020,2,,0,,0,,67886004,18.517,12.527
01feb2020,2,2,2,,0,,67886004,18.517,12.527
02feb2020,2,2,0,,0,,67886004,18.517,12.527
03feb2020,2,2,0,,0,,67886004,18.517,12.527
04feb2020,2,2,0,,0,,67886004,18.517,12.527
05feb2020,2,3,1,,0,,67886004,18.517,12.527
06feb2020,2,3,0,,0,,67886004,18.517,12.527
07feb2020,2,4,1,,0,,67886004,18.517,12.527
08feb2020,2,4,0,,0,,67886004,18.517,12.527
09feb2020,2,4,0,,0,,67886004,18.517,12.527
10feb2020,2,8,4,,0,,67886004,18.517,12.527
11feb2020,2,9,1,,0,,67886004,18.517,12.527
12feb2020,2,9,0,,0,,67886004,18.517,12.527
13feb2020,2,10,1,,0,,67886004,18.517,12.527
14feb2020,2,10,0,,0,,67886004,18.517,12.527
15feb2020,2,10,0,,0,,67886004,18.517,12.527
16feb2020,2,10,0,,0,,67886004,18.517,12.527
17feb2020,2,10,0,,0,,67886004,18.517,12.527
18feb2020,2,10,0,,0,,67886004,18.517,12.527
19feb2020,2,10,0,,0,,67886004,18.517,12.527
20feb2020,2,10,0,,0,,67886004,18.517,12.527
21feb2020,2,10,0,,0,,67886004,18.517,12.527
22feb2020,2,10,0,,0,,67886004,18.517,12.527
23feb2020,2,11,1,,0,,67886004,18.517,12.527
24feb2020,2,11,0,,0,,67886004,18.517,12.527
25feb2020,2,11,0,,0,,67886004,18.517,12.527
26feb2020,2,13,2,,0,,67886004,18.517,12.527
27feb2020,2,18,5,,0,,67886004,18.517,12.527
28feb2020,2,22,4,,0,,67886004,18.517,12.527
29feb2020,2,30,8,,0,,67886004,18.517,12.527
01mar2020,2,42,12,,0,,67886004,18.517,12.527
02mar2020,2,47,5,,0,,67886004,18.517,12.527
03mar2020,2,69,22,,0,,67886004,18.517,12.527
04mar2020,2,109,40,,0,,67886004,18.517,12.527
05mar2020,2,164,55,,0,,67886004,18.517,12.527
06mar2020,2,220,56,,0,,67886004,18.517,12.527
07mar2020,2,271,51,1,1,,67886004,18.517,12.527
08mar2020,2,352,81,2,1,,67886004,18.517,12.527
09mar2020,2,412,60,2,0,,67886004,18.517,12.527
10mar2020,2,469,57,3,1,,67886004,18.517,12.527
11mar2020,2,617,148,7,4,,67886004,18.517,12.527
12mar2020,2,876,259,7,0,,67886004,18.517,12.527
13mar2020,2,1282,406,9,2,,67886004,18.517,12.527
14mar2020,2,1766,484,10,1,,67886004,18.517,12.527
15mar2020,2,2244,478,29,19,,67886004,18.517,12.527
16mar2020,2,2605,361,43,14,,67886004,18.517,12.527
17mar2020,2,3047,442,65,22,,67886004,18.517,12.527
18mar2020,2,3658,611,82,17,,67886004,18.517,12.527
19mar2020,2,4427,769,116,34,,67886004,18.517,12.527
20mar2020,2,5426,999,162,46,,67886004,18.517,12.527
21mar2020,2,6481,1055,194,32,,67886004,18.517,12.527
22mar2020,2,7736,1255,252,58,,67886004,18.517,12.527
23mar2020,2,8934,1198,288,36,,67886004,18.517,12.527
24mar2020,2,10312,1378,364,76,,67886004,18.517,12.527
25mar2020,2,12650,2338,512,148,,67886004,18.517,12.527
