region,R,mydate
Andorra,.68679565,05apr2020
Andorra,.66718137,06apr2020
Andorra,.6408937,07apr2020
Andorra,.62521154,08apr2020
Andorra,.59853047,09apr2020
Andorra,.56930798,10apr2020
Andorra,.55267495,11apr2020
Andorra,.53439456,12apr2020
Andorra,.53333622,13apr2020
Andorra,.56516504,14apr2020
Andorra,.61596763,15apr2020
Andorra,.71556997,16apr2020
Andorra,.84046304,17apr2020
Andorra,.94737715,18apr2020
Andorra,1.0263282,19apr2020
Andorra,1.095279,20apr2020
Andorra,1.1557753,21apr2020
Andorra,1.1882391,22apr2020
Andorra,1.1739901,23apr2020
Andorra,1.1378512,24apr2020
Andorra,1.1037625,25apr2020
Andorra,1.0748129,26apr2020
Andorra,1.0122823,27apr2020
Andorra,.93493521,28apr2020
Andorra,.8623628,29apr2020
Andorra,.79646754,30apr2020
Andorra,.74112993,01may2020
Andorra,.67784148,02may2020
Andorra,.63462621,03may2020
Andorra,.59638572,04may2020
Andorra,.57149935,05may2020
Andorra,.53737783,06may2020
Andorra,.4952448,07may2020
Andorra,.40324503,08may2020
Andorra,.28889325,09may2020
Andorra,.2,10may2020
Andorra,,11may2020
Andorra,,12may2020
Andorra,,13may2020
Andorra,,14may2020
Andorra,,15may2020
Andorra,,16may2020
Andorra,,17may2020
Andorra,,18may2020
Andorra,,19may2020
Andorra,,20may2020
Andorra,,21may2020
Andorra,,22may2020
Andorra,,23may2020
Andorra,,24may2020
Andorra,,25may2020
Andorra,,26may2020
Andorra,,27may2020
Andorra,,28may2020
Andorra,,29may2020
Andorra,,30may2020
Andorra,,31may2020
Andorra,,01jun2020
Andorra,,02jun2020
Andorra,,03jun2020
Andorra,,04jun2020
Andorra,,05jun2020
Andorra,,06jun2020
Andorra,,07jun2020
Andorra,,08jun2020
Andorra,,09jun2020
Andorra,,10jun2020
Andorra,,11jun2020
Andorra,,12jun2020
Andorra,,13jun2020
Andorra,,14jun2020
Andorra,,15jun2020
Andorra,,16jun2020
Andorra,,17jun2020
Andorra,,18jun2020
Andorra,,19jun2020
Andorra,,20jun2020
Andorra,,21jun2020
Andorra,,22jun2020
Andorra,,23jun2020
Andorra,,24jun2020
Andorra,,25jun2020
Andorra,,26jun2020
Andorra,,27jun2020
Andorra,,28jun2020
Andorra,,29jun2020
Andorra,,30jun2020
Andorra,,01jul2020
Andorra,,02jul2020
Andorra,,03jul2020
Andorra,,04jul2020
Andorra,,05jul2020
Andorra,,06jul2020
Andorra,,07jul2020
Andorra,,08jul2020
Andorra,,09jul2020
Andorra,,10jul2020
Andorra,,11jul2020
Andorra,,12jul2020
Andorra,,13jul2020
Andorra,,14jul2020
Andorra,,15jul2020
Andorra,,16jul2020
Andorra,,17jul2020
Andorra,,18jul2020
Andorra,,19jul2020
Andorra,,20jul2020
Andorra,,21jul2020
Andorra,,22jul2020
Andorra,,23jul2020
Andorra,,24jul2020
Andorra,,25jul2020
Andorra,,26jul2020
Andorra,,27jul2020
Andorra,,28jul2020
Andorra,,29jul2020
Andorra,,30jul2020
Andorra,,31jul2020
Andorra,,01aug2020
Andorra,,02aug2020
Andorra,,03aug2020
Andorra,,04aug2020
Andorra,,05aug2020
Andorra,,06aug2020
Andorra,,07aug2020
Andorra,,08aug2020
Andorra,,09aug2020
Andorra,,10aug2020
Andorra,,11aug2020
Andorra,,12aug2020
Andorra,,13aug2020
Andorra,,14aug2020
Andorra,,15aug2020
Andorra,,16aug2020
Andorra,,17aug2020
Andorra,,18aug2020
Andorra,,19aug2020
Andorra,,20aug2020
Andorra,,21aug2020
Andorra,,22aug2020
Andorra,,23aug2020
Andorra,,24aug2020
Andorra,,25aug2020
Andorra,,26aug2020
Andorra,,27aug2020
Andorra,,28aug2020
Andorra,,29aug2020
Andorra,,30aug2020
Andorra,,31aug2020
Andorra,,01sep2020
Andorra,,02sep2020
Andorra,,03sep2020
Andorra,,04sep2020
Andorra,,05sep2020
Andorra,,06sep2020
Andorra,,07sep2020
Andorra,,08sep2020
Andorra,,09sep2020
Andorra,,10sep2020
Andorra,,11sep2020
Andorra,,12sep2020
Andorra,,13sep2020
Andorra,,14sep2020
Andorra,,15sep2020
Andorra,,16sep2020
Andorra,,17sep2020
Andorra,,18sep2020
Andorra,,19sep2020
Andorra,,20sep2020
Andorra,,21sep2020
Andorra,,22sep2020
Andorra,,23sep2020
Andorra,,24sep2020
Andorra,,25sep2020
Andorra,,26sep2020
Andorra,,27sep2020
Andorra,,28sep2020
Argentina,,26jan2020
Argentina,,27jan2020
Argentina,,28jan2020
Argentina,,29jan2020
Argentina,,30jan2020
Argentina,,31jan2020
Argentina,,01feb2020
Argentina,,02feb2020
Argentina,,03feb2020
Argentina,,04feb2020
Argentina,,05feb2020
Argentina,,06feb2020
Argentina,,07feb2020
Argentina,,08feb2020
Argentina,,09feb2020
Argentina,,10feb2020
Argentina,,11feb2020
Argentina,,12feb2020
Argentina,,13feb2020
Argentina,,14feb2020
Argentina,,15feb2020
Argentina,,16feb2020
Argentina,,17feb2020
Argentina,,18feb2020
Argentina,,19feb2020
Argentina,,20feb2020
Argentina,,21feb2020
Argentina,,22feb2020
Argentina,,23feb2020
Argentina,,24feb2020
Argentina,,25feb2020
Argentina,,26feb2020
Argentina,,27feb2020
Argentina,,28feb2020
Argentina,,29feb2020
Argentina,,01mar2020
Argentina,,02mar2020
Argentina,,03mar2020
Argentina,,04mar2020
Argentina,,05mar2020
Argentina,,06mar2020
Argentina,,07mar2020
Argentina,,08mar2020
Argentina,,09mar2020
Argentina,,10mar2020
Argentina,,11mar2020
Argentina,,12mar2020
Argentina,,13mar2020
Argentina,,14mar2020
Argentina,,15mar2020
Argentina,,16mar2020
